instituicao,uf,populacao,conta,estagio,valor,ano
Prefeitura Municipal de Porto Velho - RO,RO,529544,15.451 - Infraestrutura Urbana,EMPENHADO,6.77322673E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,15.452 - Serviços Urbanos,EMPENHADO,6.642460844E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,15.122 - Administração Geral,EMPENHADO,2.08750632E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,16 - Habitação,EMPENHADO,1.180881832E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,16.482 - Habitação Urbana,EMPENHADO,1.078458537E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,16.122 - Administração Geral,EMPENHADO,1024232.95,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,18 - Gestão Ambiental,EMPENHADO,3573017.42,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,18.542 - Controle Ambiental,EMPENHADO,3573017.42,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,20 - Agricultura,EMPENHADO,9931480.07,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,20.608 - Promoção da Produção Agropecuária,EMPENHADO,1105381.25,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,20.122 - Administração Geral,EMPENHADO,417099.77,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,23 - Comércio e Serviços,EMPENHADO,914066.4,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,23.691 - Promoção Comercial,EMPENHADO,908873.88,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,23.692 - Comercialização,EMPENHADO,5192.52,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,26 - Transporte,EMPENHADO,2746401.58,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,26.122 - Administração Geral,EMPENHADO,2746401.58,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,27 - Desporto e Lazer,EMPENHADO,5366804.97,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,27.812 - Desporto Comunitário,EMPENHADO,273166.64,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,27.813 - Lazer,EMPENHADO,1598.58,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,27.122 - Administração Geral,EMPENHADO,1820194.5,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,28 - Encargos Especiais,EMPENHADO,8.981806237E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,28.846 - Outros Encargos Especiais,EMPENHADO,8.981806237E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,01 - Legislativa,PAGO,3.480336379E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,01.122 - Administração Geral,PAGO,3.399985242E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,04 - Administração,PAGO,3.3359553787E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,04.122 - Administração Geral,PAGO,3.0395237145E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,04.126 - Tecnologia da Informação,PAGO,6469988.67,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,08 - Assistência Social,PAGO,6073725.39,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,08.244 - Assistência Comunitária,PAGO,3812137.64,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,08.122 - Administração Geral,PAGO,2261587.75,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,09 - Previdência Social,PAGO,1.2638978549E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,09.272 - Previdência do Regime Estatutário,PAGO,1.1611439745E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,09.122 - Administração Geral,PAGO,9827545.47,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10 - Saúde,PAGO,3.8106031832E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.301 - Atenção Básica,PAGO,2.810576708E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.302 - Assistência Hospitalar e Ambulatorial,PAGO,8.961359062E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.303 - Suporte Profilático e Terapêutico,PAGO,5009064.15,2020
